ap-bangkok,Bangkok,TH
ap-beijing,Beijing,CN
ap-chengdu,Chengdu,CN
ap-chongqing,Chongqing,CN
ap-guangzhou,Guangzhou,CN
ap-hongkong,Hong Kong,CN
ap-jakarta,Jakarta,ID
ap-mumbai,Mumbai,IN
ap-nanjing,Nanjing,CN
ap-seoul,Seoul,KR
ap-shanghai,Shanghai,CN
ap-singapore,Singapore,SG
ap-tokyo,Tokyo,JP
eu-frankfurt,Frankfurt,DE
na-ashburn,Ashburn,US
na-siliconvalley,California,US
na-toronto,Toronto,CA
sa-saopaulo,Sao Paulo,BR
