au-syd,Sydney,AU
br-sao,Sao Paulo,BR
ca-tor,Toronto,CA
eu-de,Frankfurt,DE
eu-gb,London,UK
eu-es,Madrid,ES
jp-tok,Tokyo,JP
jp-osa,Osaka,JP
kr-seo,Seoul,KR
us-east,Washington DC,US
us-south,Dallas,US
global,global,GO
