ams,Amsterdam,NL
atl,Atlanta,US
bom,Mumbai,IN
cdg,Paris,FR
dfw,Dallas,US
ewr,New Jersey,US
fra,Frankfurt,DE
hnl,Honolulu,US
icn,Seoul,KR
lax,Los Angeles,US
lhr,London,GB
mad,Madrid,ES
mel,Melbourne,AU
mex,Mexico City,MX
mia,Miami,US
nrt,Tokyo,JP
ord,Chicago,US
sao,Sao Paulo,BR
sea,Seattle,US
sgp,Singapore,SG
sjc,Silicon Valley,US
sto,Stockholm,SE
syd,Sydney,AU
waw,Warsaw,PL
yto,Toronto,CA
