ap-south-mum,Mumbai,IN
ap-southeast-sgp,Singapore,SG
ap-southeast-syd,Sydney,AU
ca-east-bhs,Beauharnois,CA
ca-east-tor,Toronto,CA
eu-central-waw,Warsaw,PL
eu-west-eri,Erith,UK
eu-west-gra,Gravelines,FR
eu-west-gra-snc,Gravelines,FR
eu-west-lim,Limburg,DE
eu-west-par,Paris,FR
eu-west-rbx,Roubaix,FR
eu-west-rbx-snc,Roubaix,FR
eu-west-sbg,Strasbourg,FR
eu-west-sbg-snc,Strasbourg,FR
us-east-vin,Vint Hill,US
us-west-hil,Hillsboro,US
