as,Hong Kong,CN
ca-tr,Toronto,CA
eu,Amsterdam,NL
eu-fr,Frankfurt,DE
eu-lo,London,UK
eu-md,Madrid,ES
eu-mi,Milan,IT
eu-st,Stockholm,SE
il,Rosh Haain,IL
il-ha,Haifa,IL
il-rh,Rosh Haain,IL
il-ta,Tel Aviv,IL
ip-pt,Petah Tikva,IL
us-ch,Chicago,US
us-mi,Miami,US
us-ny2,New York,US
us-sc,Santa Clara,US
us-tx,Dallas,US
