aud-syd1,Sydney,AU
de-fra1,Frankfurt,DE
fi-hel1,Helsinki,FI
fi-hel2,Helsinki,FI
es-mad1,Madrid,ES
nl-ams1,Amsterdam,NL
pl-waw1,Warsaw,PL
se-sto1,Stockholm,SE
sg-sin1,Singapore,SG
uk-lon1,London,UK
us-chi1,Chicago,US
us-nyc1,New York,US
us-sjo1,San Jose,US
