ams,Amsterdam,NL
blr,Bangalore,IN
ca1,Santa Clara,US
fra,Frankfurt,DE
lon,London,UK
ny1,North Bergen,US
ny2,Clifton,US
nyc,New York City,US
sfo,San Francisco,US
sgp,Singapore,SG
syd,Sydney,AU
tor,Toronto,CA
